,BuildingType,PrimaryPropertyType,YearBuilt,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,Neighborhood,NumberofBuildings,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance,Autre,Bureau,Commercial,Hotel / Restaurant,Industrial,Loisirs,Public,Residential,Santé,Scolaire,Service,industrial
0,NonResidential,Hotel / Restaurant,1927,12,88434,Hotel / Restaurant,DOWNTOWN,1.0,60.0,7226362.5,249.98,1.4800013868072903,0,0,0,1,0,0,0,0,0,0,0,0
1,NonResidential,Hotel / Restaurant,1996,11,103566,Hotel / Restaurant,DOWNTOWN,1.0,61.0,8387933.0,295.86,1.7738753857962606,0,0,0,1,0,0,0,0,0,0,0,0
2,NonResidential,Hotel / Restaurant,1969,41,956110,Hotel / Restaurant,DOWNTOWN,1.0,43.0,72587024.0,2089.28,1.620354972574714,0,0,0,1,0,0,0,0,0,0,0,0
3,NonResidential,Hotel / Restaurant,1926,10,61320,Hotel / Restaurant,DOWNTOWN,1.0,56.0,6794584.0,286.43,1.7065878754165131,0,0,0,1,0,0,0,0,0,0,0,0
4,NonResidential,Hotel / Restaurant,1980,18,175580,Hotel / Restaurant,DOWNTOWN,1.0,75.0,14172606.0,505.01,1.499522893160382,0,0,0,1,0,0,0,0,0,0,0,0
5,Nonresidential COS,Autre,1999,2,97288,Public,DOWNTOWN,1.0,,12086616.0,301.81,1.8935048685538063,0,0,0,0,0,0,1,0,0,0,0,0
6,NonResidential,Hotel / Restaurant,1926,11,83008,Hotel / Restaurant,DOWNTOWN,1.0,27.0,5758795.0,176.14,1.8896454576853003,0,0,0,1,0,0,0,0,0,0,0,0
7,NonResidential,Autre,1926,8,102761,Loisirs,DOWNTOWN,1.0,,6298131.5,221.51,1.928771502227027,0,0,0,0,0,1,0,0,0,0,0,0
8,NonResidential,Hotel / Restaurant,1904,15,163984,Hotel / Restaurant,DOWNTOWN,1.0,43.0,13723820.0,392.16,1.4175462109299526,0,0,0,1,0,0,0,0,0,0,0,0
10,NonResidential,Hotel / Restaurant,1969,11,153163,Hotel / Restaurant,DOWNTOWN,1.0,30.0,16016644.0,691.26,1.3938700218637425,0,0,0,1,0,0,0,0,0,0,0,0
11,NonResidential,Hotel / Restaurant,1998,25,333176,Hotel / Restaurant,DOWNTOWN,1.0,36.0,26941110.0,740.97,1.4649526135411648,0,0,0,1,0,0,0,0,0,0,0,0
12,NonResidential,Hotel / Restaurant,1928,9,65009,Hotel / Restaurant,DOWNTOWN,1.0,48.0,6596057.5,328.23,1.4433180726063883,0,0,0,1,0,0,0,0,0,0,0,0
13,NonResidential,Hotel / Restaurant,1980,33,315952,Hotel / Restaurant,DOWNTOWN,1.0,58.0,22325364.0,648.62,1.582164495962135,0,0,0,1,0,0,0,0,0,0,0,0
14,NonResidential,Hotel / Restaurant,1922,11,92190,Hotel / Restaurant,DOWNTOWN,1.0,35.0,10750010.0,511.39,1.5371405957603883,0,0,0,1,0,0,0,0,0,0,0,0
15,Nonresidential COS,Autre,2004,11,412000,Public,DOWNTOWN,1.0,,18588860.0,181.38,1.460110693514,0,0,0,0,0,0,1,0,0,0,0,0
16,NonResidential,Autre,1930,6,103911,Loisirs,DOWNTOWN,1.0,,9956396.0,433.86,1.442675050626318,0,0,0,0,0,1,0,0,0,0,0,0
17,NonResidential,Hotel / Restaurant,1983,28,416281,Hotel / Restaurant,DOWNTOWN,1.0,31.0,33556756.0,802.89,1.6278859565404364,0,0,0,1,0,0,0,0,0,0,0,0
18,NonResidential,Autre,1907,5,57452,Loisirs,DOWNTOWN,1.0,,7606084.5,273.02,1.5236336458884034,0,0,0,0,0,1,0,0,0,0,0,0
19,NonResidential,Hotel / Restaurant,1916,10,104352,Hotel / Restaurant,DOWNTOWN,1.0,39.0,10154608.0,349.32,1.4752425153661253,0,0,0,1,0,0,0,0,0,0,0,0
20,NonResidential,Autre,1916,10,540360,Public,DOWNTOWN,1.0,76.0,44984468.0,1265.29,1.576210964297897,0,0,0,0,0,0,1,0,0,0,0,0
21,NonResidential,Autre,1985,19,385274,Autre,DOWNTOWN,1.0,,47859812.0,1699.45,1.7390978458281605,1,0,0,0,0,0,0,0,0,0,0,0
22,SPS-District K-12,Scolaire,1961,2,56228,Scolaire,SOUTHEAST,1.0,95.0,1539478.5,38.53,8.873374678609373,0,0,0,0,0,0,0,0,0,1,0,0
